alt;neu;kategorie
daß;dass;Konjunktion
Daß;Dass;Konjunktion
sodaß;sodass;Konjunktion
Sodaß;Sodass;Konjunktion
muß;muss;Modalverb
Muß;Muss;Modalverb
mußt;musst;Modalverb
Mußt;Musst;Modalverb
mußte;musste;Modalverb
Mußte;Musste;Modalverb
mußten;mussten;Modalverb
Mußten;Mussten;Modalverb
mußtest;musstest;Modalverb
gemußt;gemusst;Modalverb
läßt;lässt;Verb
Läßt;Lässt;Verb
verläßt;verlässt;Verb
erläßt;erlässt;Verb
überläßt;überlässt;Verb
hinterläßt;hinterlässt;Verb
zuläßt;zulässt;Verb
anläßt;anlässt;Verb
einläßt;einlässt;Verb
durchläßt;durchlässt;Verb
ausläßt;auslässt;Verb
schloß;schloss;Verbpräteritum
erschloß;erschloss;Verbpräteritum
beschloß;beschloss;Verbpräteritum
entschloß;entschloss;Verbpräteritum
einschloß;einschloss;Verbpräteritum
ausschloß;ausschloss;Verbpräteritum
floß;floss;Verbpräteritum
goß;goss;Verbpräteritum
ergoß;ergoss;Verbpräteritum
biß;biss;Verbpräteritum
naß;nass;Adjektiv
häßlich;hässlich;Adjektiv
blaß;blass;Adjektiv
verläßlich;verlässlich;Adjektiv
unverläßlich;unverlässlich;Adjektiv
unerläßlich;unerlässlich;Adjektiv
soviel;so viel;Getrenntschreibung
zuviel;zu viel;Getrenntschreibung
soweit;so weit;Getrenntschreibung
zuwenig;zu wenig;Getrenntschreibung
wieviel;wie viel;Getrenntschreibung
wieweit;wie weit;Getrenntschreibung
sowenig;so wenig;Getrenntschreibung
Stengel;Stängel;Sonstiges
Greuel;Gräuel;Sonstiges
greulich;gräulich;Sonstiges
Gemse;Gämse;Vokaländerung
Schiffahrt;Schifffahrt;Dreifachkonsonant
Brennessel;Brennnessel;Dreifachkonsonant
rauh;rau;Sonstiges
